motif	num_nodes	erdos_p	num_nodes	mean
10	500	3	0	1
11	500	3	0	26
12	500	3	0	443
13	500	3	1492	2234
1	500	3	37679	38348
2	500	3	0	8
3	500	3	452	460
4	500	3	0	0
5	500	3	0	1
6	500	3	0	23
7	500	3	0	2
8	500	3	0	0
9	500	3	3726	4455
10	500	3	0	1
11	500	3	0	26
12	500	3	0	459
13	500	3	1492	2234
1	500	3	261987	262207
2	500	3	0	8
3	500	3	1449	3149
4	500	3	0	1
5	500	3	0	9
6	500	3	0	1110
7	500	3	0	18
8	500	3	0	13
9	500	3	2010	4455
10	500	3	0	9
11	500	3	0	26
12	500	3	0	3140
13	500	3	1492	2234
1	500	3	302582	302721
2	500	3	0	8
3	500	3	1469	3636
4	500	3	0	2
5	500	3	0	10
6	500	3	0	1479
7	500	3	0	21
8	500	3	0	17
9	500	3	1809	4455
10	500	3	0	10
11	500	3	0	26
12	500	3	0	3625
13	500	3	1492	2234
1	500	3	247854	248102
2	500	3	0	8
3	500	3	1345	2980
4	500	3	0	1
5	500	3	0	8
6	500	3	0	993
7	500	3	0	17
8	500	3	0	11
9	500	3	2260	4455
10	500	3	0	8
11	500	3	0	26
12	500	3	0	2971
13	500	3	1492	2234
1	500	3	232840	233118
2	500	3	0	8
3	500	3	1381	2800
4	500	3	0	1
5	500	3	0	8
6	500	3	0	877
7	500	3	0	16
8	500	3	0	10
9	500	3	2395	4455
10	500	3	0	8
11	500	3	0	26
12	500	3	0	2791
13	500	3	1492	2234
1	500	6	31987	33409
2	500	6	0	70
3	500	6	1187	801
4	500	6	0	0
5	500	6	0	4
6	500	6	0	18
7	500	6	0	9
8	500	6	0	0
9	500	6	16563	17713
10	500	6	0	4
11	500	6	0	212
12	500	6	0	797
13	500	6	7430	8901
1	500	6	31492	32915
2	500	6	0	70
3	500	6	1220	790
4	500	6	0	0
5	500	6	0	4
6	500	6	0	17
7	500	6	0	9
8	500	6	0	0
9	500	6	16648	17713
10	500	6	0	4
11	500	6	0	212
12	500	6	0	786
13	500	6	7430	8901
1	500	6	32659	34080
2	500	6	0	70
3	500	6	1181	817
4	500	6	0	0
5	500	6	0	4
6	500	6	0	18
7	500	6	0	9
8	500	6	0	0
9	500	6	16599	17713
10	500	6	0	4
11	500	6	0	212
12	500	6	0	813
13	500	6	7430	8901
1	500	6	29968	31394
2	500	6	0	70
3	500	6	1134	753
4	500	6	0	0
5	500	6	0	4
6	500	6	0	15
7	500	6	0	8
8	500	6	0	0
9	500	6	16766	17713
10	500	6	0	4
11	500	6	0	212
12	500	6	0	749
13	500	6	7430	8901
1	500	6	161211	162374
2	500	6	0	70
3	500	6	3988	3897
4	500	6	0	0
5	500	6	0	23
6	500	6	0	426
7	500	6	0	46
8	500	6	0	10
9	500	6	13715	17713
10	500	6	0	23
11	500	6	0	212
12	500	6	0	3877
13	500	6	7430	8901
1	500	6	166123	167276
2	500	6	0	70
3	500	6	4050	4014
4	500	6	0	0
5	500	6	0	23
6	500	6	0	452
7	500	6	0	47
8	500	6	0	10
9	500	6	13437	17713
10	500	6	0	24
11	500	6	0	212
12	500	6	0	3994
13	500	6	7430	8901
1	500	6	144453	145650
2	500	6	0	70
3	500	6	3745	3495
4	500	6	0	0
5	500	6	0	20
6	500	6	0	343
7	500	6	0	41
8	500	6	0	8
9	500	6	13936	17713
10	500	6	0	20
11	500	6	0	212
12	500	6	0	3478
13	500	6	7430	8901
1	500	6	152473	153653
2	500	6	0	70
3	500	6	3875	3687
4	500	6	0	0
5	500	6	0	22
6	500	6	0	381
7	500	6	0	44
8	500	6	0	9
9	500	6	13682	17713
10	500	6	0	22
11	500	6	0	212
12	500	6	0	3669
13	500	6	7430	8901
1	500	6	647346	647535
2	500	6	0	70
3	500	6	7357	15541
4	500	6	0	23
5	500	6	0	92
6	500	6	0	6783
7	500	6	0	185
8	500	6	0	162
9	500	6	8836	17713
10	500	6	0	93
11	500	6	0	212
12	500	6	0	15462
13	500	6	7430	8901
1	500	6	601827	602107
2	500	6	0	70
3	500	6	7131	14451
4	500	6	0	19
5	500	6	0	86
6	500	6	0	5865
7	500	6	0	172
8	500	6	0	140
9	500	6	8545	17713
10	500	6	0	86
11	500	6	0	212
12	500	6	0	14378
13	500	6	7430	8901
1	500	6	581814	582134
2	500	6	0	70
3	500	6	7318	13971
4	500	6	0	17
5	500	6	0	83
6	500	6	0	5482
7	500	6	0	166
8	500	6	0	131
9	500	6	8891	17713
10	500	6	0	83
11	500	6	0	212
12	500	6	0	13901
13	500	6	7430	8901
1	500	6	641722	641922
2	500	6	0	70
3	500	6	7304	15406
4	500	6	0	23
5	500	6	0	91
6	500	6	0	6666
7	500	6	0	183
8	500	6	0	160
9	500	6	8102	17713
10	500	6	0	92
11	500	6	0	212
12	500	6	0	15328
13	500	6	7430	8901
1	1000	1	1721	2218
2	1000	1	0	0
3	1000	1	0	4
4	1000	1	0	0
5	1000	1	0	0
6	1000	1	0	0
7	1000	1	0	0
8	1000	1	0	0
9	1000	1	979	997
10	1000	1	0	0
11	1000	1	0	0
12	1000	1	0	4
13	1000	1	0	499
1	1000	1	1905	2402
2	1000	1	0	0
3	1000	1	0	4
4	1000	1	0	0
5	1000	1	0	0
6	1000	1	0	0
7	1000	1	0	0
8	1000	1	0	0
9	1000	1	989	997
10	1000	1	0	0
11	1000	1	0	0
12	1000	1	0	4
13	1000	1	0	499
1	1000	1	1860	2357
2	1000	1	0	0
3	1000	1	0	4
4	1000	1	0	0
5	1000	1	0	0
6	1000	1	0	0
7	1000	1	0	0
8	1000	1	0	0
